SKU,Title,Price,Compare-at Price,pdp_ availability,pdp_freeshippingitem,pdp_vendor_part_no,new compare
"=""OLFL24""",Olympic FL-24 Front Loading Kiln,14899.00,16635.00,14-16 Weeks,true,FL24E,18300.00
"=""OLFL27""",Olympic FL-27 Front Loading Kiln,16999.00,18570.00,14-16 Weeks,true, FL27E,20500.00
"=""OLFL31""",Olympic FL-31 Front Loading Kiln,19099.00,21335.00,14-16 Weeks,true, FL31E,23500.00
"=""OLFL53""",Olympic FL-53 Front Loading Kiln,26899.00,29960.00,14-16 Weeks,true,FL53E  ,33000.00
"=""OLFL55""",Olympic FL-5.5 Front Loading Kiln,7059.00,8030.00,14-16 Weeks,true,FL55E,8550.00
"=""OLFL8""",Olympic FL-8 Front Loading Kiln,7899.00,8845.00,14-16 Weeks,true,FL8E,9775.00
"=""OLGF2ETLC""",Olympic Kilns GF2ETLC Glass Fusing Kiln,3019.00,3500.00,8-12 Weeks,true,OL146GFETLC,3950.00
"=""OLGF3ETLC""",Olympic GF3ETLC Glass Fusing Kiln,3239.00,3860.00,8-12 Weeks,true,GF3ETLC,4250.00
"=""OLHB""","Olympic Hotbox : Cone 10, Top Loading 120 Volt Electric Kiln  with Genesis Spark",1149.00,1240.00,12 to 15 Weeks,true,OLHB,1365.00
"=""OLHB64""","Olympic HB64 : Cone 10, Top Loading 120 Volt Electric Kiln  w/3 Key",1049.00,1120.00,8-12 Weeks,true,OLHB64,1235.00
"=""OLHB84""","Olympic HB84 : Cone 10, Top Loading 120 Volt Electric Kiln  with Genesis Spark Controller",1189.00,1285.00,12 to 15 Weeks,true,OLHB84,1525.00
"=""OLHB86""","Olympic HB86 : Cone 10, Top Loading 120 Volt Electric Kiln  Genesis Spark",1209.00,1315.00,12 to 15 Weeks,true,OLHB86,1450.00
"=""OLHB86V""",Olympic HB86P Vitrigraph Kiln,1449.00,1620.00,8-12 Weeks,true,OLHB86,1700.00
"=""OLHB89""","Olympic HB89 : Cone 10, Top Loading 120 Volt Electric Kiln  with Genesis Spark Controller",1329.00,1460.00,12 to 15 Weeks,true,HB89,1600.00
"=""OLHBFK""",Furniture Kit For Olympic Hotbox Kiln,82.00,,,false,OLHBFK,100.00
"=""OLHLC""",Olympic Kilns Optional High Limit Controller for Gas Kilns,1399.00,,Approximately 22-28 Weeks,true,OLHLC,1600.00
"=""OLMAS1818HE""",Olympic Medallion Artist Series Mas1818He : 2.63 Cu. Ft Cone 10: 12Key Electronic Controller,2139.00,2465.00,12 to 15 Weeks,true,OLMAS1818HE,2725.00
"=""OLMAS1823HE""",Olympic Medallion Artist Series Mas1823He : 3.29 Cu. Ft Cone 10: 12Key Electronic Controller,2249.00,2600.00,12 to 15 Weeks,true,OLMAS1823HE,2850.00
"=""OLMAS2323HE""",Olympic Medallion Artist Series Mas2323He : 5.83 Cu. Ft Cone 10: 12Key Electronic Controller,2999.00,3565.00,12 to 15 Weeks,true,OLMAS2323HE,3925.00
"=""OLMAS2327HE""",Olympic Medallion Artist Series Mas2327He : 7 Cu. Ft Cone 10: 12 Key Electronic Controller,3329.00,4035.00,12 to 15 Weeks,true,OLMAS2327HE,4450.00
"=""OLMAS2823HE""",Olympic Medallion Artist Series Mas2823He : 8.34 Cu. Ft Cone 10: 12Key Electronic Controller,3719.00,4495.00,12 to 15 Weeks,true,OLMAS2323HE,4950.00
"=""OLMAS2827HE""",Olympic Medallion Artist Series Mas2827He :10 Cu. Ft Cone 10: 12Key Electronic Controller,3989.00,4790.00,12 to 15 Weeks,true,MAS2827HE,5300.00
"=""OLO2018H""",Olympic Oval Kiln : 2018H With KilnStar Controller,4035.00,4380.00,12 to 15 Weeks,true,OLO2018H,4825.00
"=""OLO2023H""",Olympic Oval Kiln : 2023H With KilnStar Controller,4689.00,5330.00,12 to 15 Weeks,true,OLO2023H,5270.00
"=""OLO2027H""",Olympic Oval Kiln : 2027H With KilnStar Controller,4329.00,4845.00,12 to 15 Weeks,true,OLO2027H,5875.00
"=""OLO2518H""",Olympic Oval Kiln : 2518H With KilnStar Controller,4469.00,5035.00,12 to 15 Weeks,true,OLO2518H,5550.00
"=""OLO2523H""",Olympic Oval Kiln : 2523H With KilnStar Controller,4979.00,5710.00,12 to 15 Weeks,true,OLO2523H,6300.00
"=""OLO2527H""",Olympic Oval Kiln : 2527H With KilnStar Controller,5419.00,6300.00,12 to 15 Weeks,true,OLO2527H,6950.00
"=""OLO2531H""",Olympic Oval Kiln : 2531H With KilnStar Controller,5890.00,6920.00,12 to 15 Weeks,true,OLO2531H,7625.00
"=""OLO3018H""",Olympic Oval Kiln : 3018H With KilnStar Controller,5469.00,6330.00,12 to 15 Weeks,true,OLO3018H,7200.00
"=""OLO3023H""",Olympic Oval Kiln : 3023H With KilnStar Controller,5859.00,6820.00,12 to 15 Weeks,true,OLO3023H,7700.00
"=""OLO3027H""",Olympic Oval Kiln : 3027H With KilnStar Electronic Controller,6439.00,7590.00,12 to 15 Weeks,true,3027H,8500.00
"=""OLO3031H""",Olympic Oval Kiln : 3031H With KilnStar Controller,6915.00,8220.00,12 to 15 Weeks,true,OLO3031H,9050.00
"=""OLODT""","Olympic Doll /Test Mini Oval Kiln: Cone 10, Top Loading 120 Volt Electric Kiln",1419.00,1555.00,12 to 15 Weeks,true,OLODT,1710.00
"=""OLPEEP""",Olympic Peephole Plug,17.00,,,true,OLPEEP,15.00
"=""OLTL20E""",Olympic Top Loading Commercial Electric Kiln TL20 With V6-CF Controller,9529.00,10330.00,16-22 Weeks,true,OLTL20E,11500.00
"=""OLTL5432E""",Olympic Top Loading Commercial Electric Kiln TL5432E,17599.00,19835.00,16-22 Weeks,true,OLTL20E,22000.00
"=""OLTRAV""",Olympic Traveler Kiln:  Glass And Ceramic Combo With 3 Key Electronic Controller,1789.00,1990.00,12 to 15 Weeks,true,OLTRAV,2200.00
"=""SPIFL12""",Olympic FL12 Complete Front Loading Kiln Package,12376.00,,16-22 Weeks,false,SPIFL12,
"=""SPIFL17""",Olympic FL17 Complete Front Loading Kiln Package,14742.00,0.00,16-22 Weeks,false,FL17,
